FlSort,FlCde,Fleet,Flotte,Year/An,TFCde,TypeFishery,TypePêcherie,GrSort,GrCde,Gear,Engin,GrGroup,GrGroupe,GrMult,ClassLow,ClassHigh,ClassTypeCode,CLass type,noBoats_nBateaux,Fgrounds
3,"BGD    ",BANGLADESH,BANGLADESH,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,10,15,LOA,Length overall,3500,COASTAL
11,"ERI    ",ERITREA,ERYTHRÉE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,NULL,NULL,UNCL,Unclassified,255,COASTAL
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,0,2,GRT,Gross Registered Tonnage,6537,"ALL    "
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,3,20,GRT,Gross Registered Tonnage,1248,"ALL    "
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,21,50,GRT,Gross Registered Tonnage,981,"ALL    "
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,51,100,GRT,Gross Registered Tonnage,484,"ALL    "
32,"MYS    ",MALAYSIA,MALAISIE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,1,10,GRT,Gross Registered Tonnage,5420,COASTAL
37,"OMN    ",OMAN,OMAN,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,10,24,LOA,Length overall,404,COASTAL
38,"PAK    ",PAKISTAN,PAKISTAN,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,35,50,GRT,Gross Registered Tonnage,1488,"ALL    "
40,"QAT    ",QATAR,QATAR,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,10,24,LOA,Length overall,512,COASTAL
49,"THA    ",THAILAND,THAÏLANDE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,1,14,LOA,Length overall,390,COASTAL
49,"THA    ",THAILAND,THAÏLANDE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,14,25,LOA,Length overall,26,COASTAL
49,"THA    ",THAILAND,THAÏLANDE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,25,40,LOA,Length overall,1,COASTAL
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,4,20,LOA,Length overall,58,COASTAL
33,"MDV    ",MALDIVES,MALDIVES,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,4,6,LOA,Length overall,20,PELAGIC
43,"SYC    ",SEYCHELLES,SEYCHELLES,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,4,6,LOA,Length overall,40,PELAGIC
43,"SYC    ",SEYCHELLES,SEYCHELLES,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,5,10,LOA,Length overall,201,PELAGIC
43,"SYC    ",SEYCHELLES,SEYCHELLES,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,7,12,LOA,Length overall,94,PELAGIC
43,"SYC    ",SEYCHELLES,SEYCHELLES,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HAND,Hand line,Ligne à main,Line,Lignes,0,9,26,LOA,Length overall,11,PELAGIC
14,"EUMYT  ",EU.FRANCE.MAYOTTE,UE.FRANCE.MAYOTTE,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HATR,Hand line and Troll line,Ligne à main et Ligne de traîne,Line,Lignes,1,4,8,LOA,Length overall,269,PELAGIC
15,"EUREU  ",EU.FRANCE.REUNION,UE.FRANCE.RÉUNION,1997,ART,Artisanal Fishing,Pêcheries artisanales,6,HATR,Hand line and Troll line,Ligne à main et Ligne de traîne,Line,Lignes,1,5,14,LOA,Length overall,1509,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,12,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,295,PELAGIC
22,"IND    ",INDIA,INDE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
24,"IRN    ",IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
26,"JPN    ",JAPAN,JAPON,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,4,PELAGIC
26,"JPN    ",JAPAN,JAPON,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,248,PELAGIC
29,"KOR    ",KOREA REP.,CORÉE RÉP.,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,58,PELAGIC
34,"MUS    ",MAURITIUS,MAURICE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
48,"TZA    ",TANZANIA,TANZANIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,3,PELAGIC
53,"VUT    ",VANUATU,VANUATU,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,1,PELAGIC
57,"NEIFR  ",NEI.FROZEN,NCA.CONGELÉ,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,24,40,LOA,Length overall,44,PELAGIC
57,"NEIFR  ",NEI.FROZEN,NCA.CONGELÉ,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LL,Longline,Palangre dérivante au-dessus de 1800 hameçons,Longline,Palangre,0,40,60,LOA,Length overall,50,PELAGIC
22,"IND    ",INDIA,INDE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,LLEX,Exploratory longline,Palangre de prospection,Longline,Palangre,0,40,60,LOA,Length overall,2,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,24,40,LOA,Length overall,6,PELAGIC
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,40,60,LOA,Length overall,2,PELAGIC
13,"EUFRA  ",EU.FRANCE,UE.FRANCE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,40,60,LOA,Length overall,3,PELAGIC
13,"EUFRA  ",EU.FRANCE,UE.FRANCE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,12,PELAGIC
13,"EUFRA  ",EU.FRANCE,UE.FRANCE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,80,100,LOA,Length overall,2,PELAGIC
13,"EUFRA  ",EU.FRANCE,UE.FRANCE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,100,120,LOA,Length overall,2,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,60,80,LOA,Length overall,15,PELAGIC
19,"EUESP  ",EU.SPAIN,UE.ESPAGNE,1997,IND,Industrial Fishing,Pêcheries industrielles,1,PS,Purse seine,Senne tournante aux thons,Purse Seine,Senne tournante,0,80,100,LOA,Length overall,5,PELAGIC
